State,Town,Lat,Lon
Chin,ထန်တလန်,22.69843,93.4278
Chin,ကျီခါး,23.88976,93.53347
Chin,တွန်းဇန်,23.60306,93.69175
Kachin,ဗန်းမော်,24.25493,97.23441
Kachin,ချီဖွေ,25.88635,98.12976
Kachin,ပန်ဝါ,25.59866,98.37863
Kachin,ဖားကန့်,25.6128,96.31212
Kachin,ကာမိုင်း,25.5226,96.71153
Kachin,အင်ဂျန်းယန်,25.82991,97.72671
Kachin,ခေါင်လန်ဖူး,27.06042976,98.36034274
Kachin,မချမ်းဘော,27.28395,97.58937
Kachin,မံစီ,24.11962,97.29311
Kachin,မိုးကောင်း,25.30274,96.94038
Kachin,နမ္မတီး,25.37835,97.00896
Kachin,ဟိုပင်,24.99183,96.53019
Kachin,အင်းတော်ကြီး,25.0929,96.2876
Kachin,မိုးညှင်း,24.77711317,96.36492597
Kachin,နန်းမား,24.873985,96.436251
Kachin,နန့်မွန်း,25.0047,96.3548
Kachin,ဒေါ့ဖုန်းယန်,24.61398,97.46127
Kachin,လွယ်ဂျယ်,24.19932,97.72077
Kachin,မိုးမောက်,24.25094936,97.34653148
Kachin,မြစ်ကြီးနား,25.38749,97.39036
Kachin,ဆင်ဘို,24.77923,97.03917
Kachin,နောင်မွန်း,27.50532,97.81785
Kachin,ပန်နန်းဒင်,27.72810198,97.87661842
Kachin,ပူတာအို,27.29934,97.4159
Kachin,မြို့လှ,24.47856339,96.65521559
Kachin,ရွှေကူ,24.20695,96.80606
Kachin,ဆွမ်ပရာဘွမ်,26.54373,97.5677
Kachin,ရှင်ဗွေယန်,26.69478,96.2094
Kachin,တနိုင်း,26.35797,96.71655
Kachin,ဆော့လော်,26.15418607,98.27048681
Kachin,ကန်ပိုက်တီ,25.40319,98.11739
Kachin,ဆဒုံး,25.39708896,97.89996053
Kachin,ဝိုင်းမော်,25.35099,97.44281
Kayah,ဘောလခဲ,19.17255818,97.34284242
Kayah,ရွာသစ်,19.16673,97.4995
Kayah,ဒီးမော့ဆို,19.53832,97.15881
Kayah,နန်းမယ်ခုံ,19.6696,97.1091
Kayah,ဖားဆောင်း,18.87063,97.31592
Kayah,ဖရူဆို,19.41386948,97.12799393
Kayah,လောပိတ,19.54909,97.329287
Kayah,လွိုင်ကော်,19.67424,97.20993
Kayah,လွိုင်လင်လေး,19.8777,97.2318
Kayah,မယ်စဲ,18.67246177,97.66277329
Kayah,ရှားတော,19.63174,97.52073
Kayin,လှိုင်းဘွဲ့,17.12574,97.81871
Kayin,ပိုင်ကျုံ,17.02169958,97.985965
Kayin,ရှမ်းရွာသစ်,17.42438,97.88778
Kayin,ဘားအံ,16.88076,97.63691
Kayin,ဖာပွန်,18.06305643,97.44321438
Kayin,ကမမောင်း,17.34688,97.6529
Kayin,ကော့ကရိတ်,16.55553,98.23996
Kayin,ကျုံဒိုး,16.59446,98.04353
Kayin,ဘုရားသုံးဆူ,15.30444,98.37808
Kayin,ကျိုက်ဒုံ,16.00253062,98.39268396
Kayin,ကြာအင်းဆိပ်ကြီး,16.04079,98.12322
Kayin,မြဝတီ,16.68867758,98.51303563
Kayin,စုကလိ,16.15439,98.59621
Kayin,​ဝေါလေမြိုင် (ဝေါလေ),16.29392,98.71324
Kayin,ဘောဂလိ,18.91451,96.78565
Kayin,လိပ်သို,19.22235,96.58097
Kayin,သံတောင်,19.02175,96.58266
Kayin,သံတောင်ကြီး,19.07339,96.67547
Magway,အောင်လံ,19.35855,95.21684
Magway,ချောက်,20.89097787,94.81829465
Magway,စလေ,20.8338,94.7424
Magway,ဂန့်ဂေါ,22.17421,94.13582
Magway,ကျော,21.92737,94.35789
Magway,ကံမ,19.02897,95.09594
Magway,မကွေး,20.14027,94.92696
Magway,မင်းဘူး,20.17161,94.87518
Magway,စကု,20.22609,94.76831
Magway,မင်းတုန်း,19.35131067,94.73233488
Magway,မင်းလှ,19.96559,95.0367
Magway,မြိုင်,21.61256,94.85432
Magway,မြို့သစ်,20.19919,95.44692
Magway,နတ်မောက်,20.35339,95.39966
Magway,ငဖဲ,20.07538,94.46767
Magway,ကမ္မ,21.38358,94.81558
Magway,မြစ်ခြေ,21.2454,94.8511
Magway,ပခုက္ကူ,21.335,95.08227
Magway,ပေါက်,21.45215,94.47374
Magway,ပွင့်ဖြူ,20.36334,94.66933
Magway,စလင်း,20.5772,94.65936
Magway,ဆင်ဖြူကျွန်း,20.66419969,94.69290491
Magway,ကျောက်ထု,21.406,94.136
Magway,ဆော,21.15223705,94.15465822
Magway,ဆိပ်ဖြူ,20.90651,94.79243
Magway,စေတုတ္ထရာ,20.4466,94.24559
Magway,ဆင်ပေါင်ဝဲ,19.72291986,95.16185986
Magway,တောင်တွင်းကြီး,20.00187,95.54614
Magway,သရက်,19.3215,95.17716
Magway,ထီးလင်း,21.69636,94.09278
Magway,ရေနံချောင်း,20.45837,94.8731
Magway,ရေစကြို,21.6338783,95.24530058
Mandalay,အမရပူရ,21.90314,96.04948
Mandalay,မြစ်ငယ်,21.85418,96.06856
Mandalay,အောင်မြေသာဇံ,21.993206,96.096861
Mandalay,မန္တလေး,21.98940286,96.09210108
Mandalay,ချမ်းအေးသာဇံ,21.97535,96.094599
Mandalay,ချမ်းမြသာစည်,21.939404,96.095838
Mandalay,ကျောက်ပန်းတောင်း,20.84248,95.13218
Mandalay,ကျောက်ဆည်,21.61325,96.13033
Mandalay,မတ္တရာ,22.21036,96.10639
Mandalay,မဟာအောင်မြေ,21.97535,96.094599
Mandalay,မလှိုင်,21.09867,95.64698
Mandalay,မိတ္ထီလာ,20.88189,95.86311
Mandalay,မိုးကုတ်,22.92139,96.5054
Mandalay,မြင်းခြံ,21.45745,95.39179
Mandalay,ဆီမီးခုံ,21.735,95.4221
Mandalay,ကူမဲ,21.3583,96.1603
Mandalay,မြစ်သား,21.42427,96.13086
Mandalay,နွားထိုးကြီး,21.4237,95.6545
Mandalay,ငါန်းဇွန်,21.89845665,95.68723151
Mandalay,ပုဂံ,21.13197,94.86257
Mandalay,ငါ့သရောက်,21.15058,95.13772
Mandalay,ညောင်ဦး,21.19543,94.91011
Mandalay,ပုသိမ်ကြီး,22.00399394,96.16465066
Mandalay,ပျော်ဘွယ်,20.59472,96.05094
Mandalay,ပြည်ကြီးတံခွန်,21.901964,96.104181
Mandalay,ပြင်ဦးလွင်,22.01397,96.45634
Mandalay,စဉ့်ကူး,22.54838207,95.99655105
Mandalay,စဉ့်ကိုင်,21.73113711,96.10610982
Mandalay,တံတားဦး,21.81510017,95.97069475
Mandalay,တောင်သာ,21.27603,95.44541
Mandalay,တကောင်း,23.50188,96.01367
Mandalay,သပိတ်ကျင်း,22.88593,95.97525
Mandalay,သာစည်,20.85019,96.05838
Mandalay,ဝမ်းတွင်း,21.09691,96.03001
Mandalay,ရမည်းသင်း,20.4305,96.13747
Mon,ဘီးလင်း,17.21987,97.23931
Mon,ချောင်းဆုံ,16.35125,97.55048
Mon,ကျိုက်မရော,16.37045,97.72411
Mon,ကျိုက်ထို,17.31156,97.01989
Mon,သိမ်ဇရပ်,17.5137,96.884
Mon,မော်လမြိုင်,16.48459,97.62593
Mon,ကမာ၀က်,16.1409,97.73403
Mon,မုဒုံ,16.25812,97.72478
Mon,ပေါင်,16.61679,97.45672
Mon,ဇင်းကျိုက်,16.69655,97.42371
Mon,ကျိုက္ခမီ,16.08,97.5675
Mon,သံဖြူဇရပ်,15.9667,97.7333
Mon,သထုံ,16.9197,97.3678
Mon,သုဝဏ္ဏဝတီ,17.06022,97.30482
Mon,ခေါဇာ,15.03752,97.82935
Mon,လမိုင်း,15.50351,97.83215
Mon,ရေး,15.24539174,97.84935392
Nay Pyi Taw,ဒက္ခိဏသီရိ,19.70026174,96.09049718
Nay Pyi Taw,လယ်ဝေး,19.63467,96.11007
Nay Pyi Taw,ဥတ္တရသီရိ,19.891,96.043
Nay Pyi Taw,ပုဗ္ဗသီရိ,19.84383343,96.18252411
Nay Pyi Taw,ပျဉ်းမနား,19.7361,96.20895
Nay Pyi Taw,တပ်ကုန်း,20.13041,96.20297
Nay Pyi Taw,ဇမ္ဗူသီရိ,19.76867364,96.07260872
Nay Pyi Taw,နေပြည်တော်,19.80326,96.18566
Nay Pyi Taw,ဇေယျာသီရိ,19.862,96.309
Rakhine,အမ်း,19.79537,94.04791
Rakhine,တပ်တောင်,19.5682,93.9358
Rakhine,ဘူးသီးတောင်,20.87498,92.525
Rakhine,ဂွ,17.59369,94.57996
Rakhine,ကျိန္တလီ,18.00712,94.49141
Rakhine,ကျောက်ဖြူ,19.4239,93.5544
Rakhine,စနဲ,19.2166,93.7336
Rakhine,ကျောက်တော်,20.84396,92.97282
Rakhine,ခမောင်းဆိပ်,21.26554,92.27141
Rakhine,မောင်တော,20.81897,92.36776
Rakhine,မြင်းလွှတ်,20.62786,92.50212
Rakhine,တောင်ပြိုလက်ဝဲ,21.19990921,92.20068434
Rakhine,မင်းပြား,20.36452,93.27269
Rakhine,မြောက်ဦး,20.59185,93.18844
Rakhine,မာန်အောင်,18.85506,93.7215
Rakhine,ကမ်းထောင့်ကြီး,19.85695,93.75902
Rakhine,မြေပုံ,20.04676,93.37376
Rakhine,ပေါက်တော,20.18098,93.06817
Rakhine,ပုဏ္ဏားကျွန်း,20.33199,93.0043
Rakhine,လေးတောင်,19.038619,93.694846
Rakhine,ရမ်းဗြဲ,19.08769,93.85886
Rakhine,ရသေ့တောင်,20.48215363,92.75605687
Rakhine,စစ်တွေ,20.13727,92.88551
Rakhine,ငပလီ,18.43755,94.3206
Rakhine,သံတွဲ,18.4661997,94.3677026
Rakhine,မအီ,19.34234,94.13845
Rakhine,တန်းလွဲရွာမ,18.998289,94.12645
Rakhine,တောင်ကုတ်,18.85353,94.23972
Sagaing,အရာတော်,22.28525,95.45068
Sagaing,ဗန်းမောက်,24.39986,95.85767
Sagaing,ဘုတလင်,22.38918,95.14857
Sagaing,ချောင်းဦး,21.95693,95.27363
Sagaing,ခန္တီး,25.99243,95.69547
Sagaing,ဟုမ္မလင်း,24.8644,94.91088
Sagaing,မိုဝိုင်းလွတ်,25.08339558,94.96449799
Sagaing,ရွှေပြည်အေး,24.68343537,94.73146774
Sagaing,အင်းတော်,24.22252,96.14167
Sagaing,မော်လူး,24.4649,96.1796
Sagaing,ကလေး,23.1933,94.02977
Sagaing,ကလေးဝ,23.1998,94.30036
Sagaing,ကန့်ဘလူ,23.20305,95.51886
Sagaing,ဇီးကုန်း,22.9311,95.5636
Sagaing,ကနီ,22.43291,94.84847
Sagaing,ကသာ,24.18163,96.33167
Sagaing,ကောလင်း,23.79026,95.68339
Sagaing,ခင်ဦး,22.77016,95.62149
Sagaing,ကျွန်းလှ,23.31964,95.5321
Sagaing,လဟယ်,26.32594,95.44113
Sagaing,ထန်ပါခွေ,25.96589,95.24148
Sagaing,လေရှီး,25.44705664,94.95662984
Sagaing,မိုပိုင်းလွတ်,25.046708,94.787483
Sagaing,ဆွမ္မရာ,25.36455,94.68729
Sagaing,မော်လိုက်,23.63512,94.41201
Sagaing,မင်းကင်း,22.87781,94.4942
Sagaing,မုံရွာ,22.12168,95.13963
Sagaing,မြောင်,21.83163968,95.42424957
Sagaing,မြင်းမူ,21.92680562,95.57156697
Sagaing,ဒုံဟီး,26.77569745,95.79165454
Sagaing,နန်းယွန်း,26.97979,96.16705
Sagaing,ပန်ဆောင်,27.23683197,96.1671161
Sagaing,ပုလဲ,21.93415,94.87486
Sagaing,ဖောင်းပြင်,24.26768,94.81686
Sagaing,ပင်လည်ဘူး,24.08089,95.37026
Sagaing,စစ်ကိုင်း,21.88008,95.96231
Sagaing,ဆားတောင်,22.1639,95.7574
Sagaing,ဆားလင်းကြီး,21.97363131,95.08269357
Sagaing,​ကျောက်မြောင်း,22.59329,95.94495
Sagaing,ရွှေဘို,22.56996,95.69849
Sagaing,စိုင်ပြင်,22.5561,95.2366
Sagaing,ဒီပဲယင်း,22.68529,95.32121
Sagaing,ခါမ်းပါတ်,23.77977,94.14575
Sagaing,မြို့သစ်,24.51539,94.51857
Sagaing,တမူး,24.21149,94.31534
Sagaing,တန့်ဆည်,22.94407,95.37361
Sagaing,ထီးချိုင့်,23.75452,96.14833
Sagaing,ဝက်လက်,22.36715,95.78812
Sagaing,ဝန်းသို,23.89924064,95.68193027
Sagaing,ရေဦး,22.76914,95.43049
Sagaing,ယင်းမာပင်,22.07779,94.90014
Shan (East),ဟိုတောင်း,22.04143173,99.55067044
Shan (East),ကျိုင်းတုံ,21.29189,99.6036
Shan (East),မိုင်းဖျန်,21.98542,99.59892
Shan (East),မိုင်းကာ,21.84343,99.41942
Shan (East),မိုင်းပေါက်,22.008223,99.310104
Shan (East),မိုင်းဖြတ်,20.87804,99.92333
Shan (East),မိုင်းဆတ်,20.50544,99.24724
Shan (East),မိုင်းခုတ်,20.7404833,99.46360097
Shan (East),မိုင်းခတ်,21.7499,99.46377
Shan (East),မိုင်းလား,21.6729,100.01867
Shan (East),မိုင်းပျဉ်း,21.3502,99.026
Shan (East),တုံတာ,21.33004,99.28781
Shan (East),မုံးထ,19.7978983,98.5670835
Shan (East),မိုင်းတုံ,20.30351,98.90008
Shan (East),ပုံပါကျင်,19.8892,98.9382
Shan (East),မိုင်းပေါက်,22.0082,99.3101
Shan (East),မိုင်းယန်း,21.84235,99.68711
Shan (East),မိုင်းယောင်း,21.18069822,100.3578971
Shan (East),မိုင်းယု,21.32975979,100.5508241
Shan (East),နမ့်ဖိုင်,21.92905642,99.20034919
Shan (East),ကျိုင်းလပ်,20.867,100.534
Shan (East),တာချီလိတ်,20.45304,99.88403
Shan (East),တာလေ,20.71261925,100.0930691
Shan (North),အိုက်ချန်,22.76395,99.22358
Shan (North),ခွန်းမား,22.9794,99.46016
Shan (North),ဟိုပန်,23.42544,98.75029
Shan (North),နမ့်တစ်,23.4758306,98.86721928
Shan (North),ပန်လုံ,23.25641,98.78571
Shan (North),ဆောင်ဖ,23.08460198,99.22364802
Shan (North),သိန္နီ,23.3072,97.9736
Shan (North),သီပေါ,22.61894,97.2981
Shan (North),ကလောင်ဖါ,22.71811,98.72545
Shan (North),မိုင်းမော,22.96912,98.96356
Shan (North),ကုန်းကြမ်း,23.82946,98.53934
Shan (North),​မော်ထိုက်,24.094122,98.796794
Shan (North),ကွမ်းလုံ,23.41645472,98.65052624
Shan (North),ကွတ်ခိုင်,23.45921,97.94341
Shan (North),တာမိုးညဲ,23.57597,98.09862
Shan (North),ကျောက်မဲ,22.54172,97.03671
Shan (North),မိုင်းလုံ,22.7908,96.62431
Shan (North),မိုင်းငေါ့,22.77316,96.98402
Shan (North),လားရှိုး,22.95277,97.74747
Shan (North),ချင်းရွှေဟော်,23.47557,98.82419
Shan (North),လောက်ကိုင်,23.69163,98.76408
Shan (North),လင်ဟော်,22.77647,98.83702
Shan (North),လုံထန်,22.90568,99.36871
Shan (North),မဘိမ်း,23.47292,96.6292
Shan (North),မန်မန်ဆိုင်,22.50304,98.76685
Shan (North),မန်တွန်း,22.94789,98.612
Shan (North),မန်တုံ,23.24647923,97.12221743
Shan (North),မက်မန်း,21.95417434,98.87087865
Shan (North),မိုင်းမော,22.9672,98.9674
Shan (North),မိုးမိတ်,23.11422,96.66999
Shan (North),မိုင်းရယ်,22.4276179,98.0389972
Shan (North),(မန်ဟျိုး) မန်ဟီးရိုး,23.95176337,97.80064245
Shan (North),မုန်းကိုး,24.0998,98.3031
Shan (North),မူဆယ်,23.98989,97.90165
Shan (North),ပန်ဆိုင်း (ကြူကုတ်),24.07548,98.06229
Shan (North),နမ်ခမ်းဝူး,22.47704,99.18664
Shan (North),နမ့်တစ်,23.47584,98.86718
Shan (North),နမ့်ခမ်း,23.837,97.6818
Shan (North),နမ့်ဆန်,22.96407,97.16126
Shan (North),နမ္မတူ,23.09361,97.40049
Shan (North),နားကောင်,22.37369482,98.71026925
Shan (North),နာဝီး,23.11117,98.66354
Shan (North),နားဖန်,22.60793118,99.09257653
Shan (North),နောင်ခစ်,22.43836,98.9248
Shan (North),ဝိန်းကောင်,22.30273,98.93896
Shan (North),နောင်ချို,22.33003,96.79895
Shan (North),ပန်ခမ့်,22.17594,99.17044
Shan (North),ပန်ယန်း,22.12911824,98.79675147
Shan (North),မန်ကန်,22.68954,98.59519
Shan (North),ပန်ဆန်း (ပန်ခမ်း),22.17594,99.17044
Shan (North),ပန်ဝိုင်,23.0562781,99.30908333
Shan (North),တန့်ယန်း,22.4981,98.3968
Shan (North),ယောင်လင်း,22.95939,99.31197
Shan (North),ရင်ဖန့်,22.62819,99.28307
Shan (South),ဟိုပုံး,20.79743,97.17024
Shan (South),ဆီဆိုင်,20.16226959,97.25190388
Shan (South),အောင်ပန်း,20.66122,96.63584
Shan (South),ဟဲဟိုး,20.7221,96.8239
Shan (South),ကလော,20.62418,96.55864
Shan (South),ကာလိ,21.28871821,98.53380618
Shan (South),ကွန်ဟိန်း,21.301,98.424
Shan (South),ကျေးသီး,21.92515,97.81933
Shan (South),မိုင်းနောင်,21.645,98.123
Shan (South),လဲချား,21.27024,97.66509
Shan (South),ဟိုမိန်း,19.769,97.979
Shan (South),လင်းခေး,20.34222,98.00371
Shan (South),အင်တော,21.63124,96.92252
Shan (South),ရပ်စောက်,21.24664,96.86518
Shan (South),လွိုင်လင်,20.92536,97.56581
Shan (South),ပင်လုံ,20.991,97.532
Shan (South),မောက်မယ်,20.2305,97.72369
Shan (South),မိုင်းရှူး,21.90513,98.36044
